Episode,Total Reward,Goal Reached
361,-29.0,False
362,-29.0,False
363,-29.0,False
364,-29.0,False
365,-29.0,False
366,-29.0,False
367,-29.0,False
368,-29.0,False
369,-29.0,False
370,-29.0,False
371,-29.0,False
372,-29.0,False
373,-29.0,False
374,-29.0,False
375,-29.0,False
376,-29.0,False
377,-29.0,False
378,-29.0,False
379,-29.0,False
380,-29.0,False
381,-29.0,False
382,-29.0,False
383,-29.0,False
384,-29.0,False
385,-29.0,False
386,-29.0,False
387,-29.0,False
388,-29.0,False
389,-29.0,False
390,-29.0,False
391,-29.0,False
392,-29.0,False
393,-29.0,False
394,-29.0,False
395,-29.0,False
396,-29.0,False
397,-29.0,False
398,-29.0,False
399,-29.0,False
400,-29.0,False
401,-29.0,False
402,-29.0,False
403,-29.0,False
404,-29.0,False
405,-29.0,False
406,-29.0,False
407,-29.0,False
408,-29.0,False
409,-29.0,False
410,-29.0,False
411,-29.0,False
412,-29.0,False
413,-29.0,False
414,-29.0,False
415,-29.0,False
416,-29.0,False
417,-29.0,False
418,-29.0,False
419,-29.0,False
420,-29.0,False
421,-29.0,False
422,-29.0,False
423,-29.0,False
424,-29.0,False
425,-29.0,False
426,-29.0,False
427,-29.0,False
428,-29.0,False
429,-29.0,False
430,-29.0,False
431,-29.0,False
432,-29.0,False
433,-29.0,False
434,-29.0,False
435,-29.0,False
436,-29.0,False
437,-29.0,False
438,-29.0,False
439,-29.0,False
440,-29.0,False
441,-29.0,False
442,-29.0,False
443,-29.0,False
444,-29.0,False
445,-29.0,False
446,-29.0,False
447,-29.0,False
448,-29.0,False
449,-29.0,False
450,-29.0,False
451,-29.0,False
452,-29.0,False
453,-29.0,False
454,-29.0,False
455,-29.0,False
456,-29.0,False
457,-29.0,False
458,-29.0,False
459,-29.0,False
460,-29.0,False
461,-29.0,False
462,-29.0,False
463,-29.0,False
464,-29.0,False
465,-29.0,False
466,-29.0,False
467,-29.0,False
468,-29.0,False
469,-29.0,False
470,-29.0,False
471,-29.0,False
472,-29.0,False
473,-29.0,False
474,-29.0,False
475,-29.0,False
476,-29.0,False
477,-29.0,False
478,-29.0,False
479,-29.0,False
480,-29.0,False
481,-29.0,False
482,-29.0,False
483,-29.0,False
484,-29.0,False
485,-29.0,False
486,-29.0,False
487,-29.0,False
488,-29.0,False
489,-29.0,False
490,-29.0,False
491,-29.0,False
492,-29.0,False
493,-29.0,False
494,-29.0,False
495,-29.0,False
496,-29.0,False
497,-29.0,False
498,-29.0,False
499,-29.0,False
500,-29.0,False
501,-29.0,False
502,-29.0,False
503,-29.0,False
504,-29.0,False
505,-29.0,False
506,-29.0,False
507,-29.0,False
508,-29.0,False
509,-29.0,False
510,-29.0,False
511,-29.0,False
512,-29.0,False
513,-29.0,False
514,-29.0,False
515,-29.0,False
516,-29.0,False
517,-29.0,False
518,-29.0,False
519,-29.0,False
520,-29.0,False
521,-29.0,False
522,-29.0,False
523,-29.0,False
524,-29.0,False
525,-29.0,False
526,-29.0,False
527,-29.0,False
528,-29.0,False
529,-29.0,False
530,-29.0,False
531,-29.0,False
532,-29.0,False
533,-29.0,False
534,-29.0,False
535,-29.0,False
536,-29.0,False
537,-29.0,False
538,-29.0,False
539,-29.0,False
540,-29.0,False
541,-29.0,False
542,-29.0,False
543,-29.0,False
544,-29.0,False
545,-29.0,False
546,-29.0,False
547,-29.0,False
548,-29.0,False
549,-29.0,False
550,-29.0,False
551,-29.0,False
552,-29.0,False
553,-29.0,False
554,-29.0,False
555,-29.0,False
556,-29.0,False
557,-29.0,False
558,-29.0,False
559,-29.0,False
560,-29.0,False
561,-29.0,False
562,-29.0,False
563,-29.0,False
564,-29.0,False
565,-29.0,False
566,-29.0,False
567,-29.0,False
568,-29.0,False
569,-29.0,False
570,-29.0,False
571,-29.0,False
572,-29.0,False
573,-29.0,False
