Episode,Total Reward,Goal Reached
381,83.0,True
382,83.0,True
383,83.0,True
384,83.0,True
385,83.0,True
386,83.0,True
387,82.0,True
388,83.0,True
389,82.0,True
390,83.0,True
391,82.0,True
392,82.0,True
393,-27.0,False
394,82.0,True
395,83.0,True
396,83.0,True
397,83.0,True
398,82.0,True
399,-27.0,False
400,82.0,True
401,82.0,True
402,-28.0,False
403,83.0,True
404,83.0,True
405,83.0,True
406,83.0,True
407,83.0,True
408,83.0,True
409,83.0,True
410,83.0,True
411,83.0,True
412,83.0,True
413,82.0,True
414,82.0,True
415,83.0,True
416,83.0,True
417,83.0,True
418,82.0,True
419,83.0,True
420,83.0,True
421,83.0,True
422,83.0,True
423,83.0,True
424,83.0,True
425,82.0,True
426,83.0,True
427,-27.0,False
428,83.0,True
429,83.0,True
430,83.0,True
431,82.0,True
432,83.0,True
433,83.0,True
434,83.0,True
435,82.0,True
436,83.0,True
437,82.0,True
438,83.0,True
439,82.0,True
440,82.0,True
441,83.0,True
442,83.0,True
443,82.0,True
444,82.0,True
445,83.0,True
446,82.0,True
447,82.0,True
448,82.0,True
449,83.0,True
450,82.0,True
451,82.0,True
452,82.0,True
453,82.0,True
454,83.0,True
455,82.0,True
456,82.0,True
457,83.0,True
458,82.0,True
459,82.0,True
460,83.0,True
461,82.0,True
462,83.0,True
463,82.0,True
464,82.0,True
465,83.0,True
466,83.0,True
467,82.0,True
468,83.0,True
469,82.0,True
470,82.0,True
471,82.0,True
472,82.0,True
473,82.0,True
474,82.0,True
475,83.0,True
476,82.0,True
477,82.0,True
478,82.0,True
479,83.0,True
480,82.0,True
481,82.0,True
482,83.0,True
483,82.0,True
484,82.0,True
485,82.0,True
486,83.0,True
487,82.0,True
488,82.0,True
489,82.0,True
490,82.0,True
491,83.0,True
492,83.0,True
493,82.0,True
494,82.0,True
495,82.0,True
496,82.0,True
497,82.0,True
498,82.0,True
499,82.0,True
500,82.0,True
501,82.0,True
502,82.0,True
503,82.0,True
504,82.0,True
505,83.0,True
506,83.0,True
507,83.0,True
508,82.0,True
509,82.0,True
510,82.0,True
511,82.0,True
512,82.0,True
513,82.0,True
514,82.0,True
515,82.0,True
516,82.0,True
517,82.0,True
518,82.0,True
519,82.0,True
520,83.0,True
521,82.0,True
522,82.0,True
523,82.0,True
524,82.0,True
525,82.0,True
526,82.0,True
527,82.0,True
528,83.0,True
529,82.0,True
530,82.0,True
531,82.0,True
532,82.0,True
533,82.0,True
534,82.0,True
535,83.0,True
536,82.0,True
537,83.0,True
538,82.0,True
539,82.0,True
540,82.0,True
541,82.0,True
542,82.0,True
543,82.0,True
544,83.0,True
545,82.0,True
546,82.0,True
547,82.0,True
548,82.0,True
549,82.0,True
550,82.0,True
551,82.0,True
552,82.0,True
553,83.0,True
554,83.0,True
555,82.0,True
556,83.0,True
557,83.0,True
558,82.0,True
559,82.0,True
560,82.0,True
561,83.0,True
562,83.0,True
563,82.0,True
564,82.0,True
565,82.0,True
566,82.0,True
567,82.0,True
568,83.0,True
569,82.0,True
570,82.0,True
571,82.0,True
572,82.0,True
573,82.0,True
574,82.0,True
575,83.0,True
576,82.0,True
577,83.0,True
578,82.0,True
579,82.0,True
580,83.0,True
581,83.0,True
582,83.0,True
583,82.0,True
584,83.0,True
585,83.0,True
586,82.0,True
587,83.0,True
588,83.0,True
589,82.0,True
590,82.0,True
591,83.0,True
592,83.0,True
593,82.0,True
594,83.0,True
595,82.0,True
596,82.0,True
597,83.0,True
598,83.0,True
599,82.0,True
600,82.0,True
601,82.0,True
602,83.0,True
603,82.0,True
604,83.0,True
605,82.0,True
606,82.0,True
607,82.0,True
608,82.0,True
609,83.0,True
610,82.0,True
611,82.0,True
612,82.0,True
613,82.0,True
614,82.0,True
615,82.0,True
616,82.0,True
617,82.0,True
618,82.0,True
619,82.0,True
620,82.0,True
621,82.0,True
622,82.0,True
623,82.0,True
624,83.0,True
625,82.0,True
626,82.0,True
627,83.0,True
628,83.0,True
629,82.0,True
630,82.0,True
631,82.0,True
632,83.0,True
633,82.0,True
634,82.0,True
635,83.0,True
636,83.0,True
637,83.0,True
638,83.0,True
639,82.0,True
640,82.0,True
641,83.0,True
642,82.0,True
643,83.0,True
644,82.0,True
645,82.0,True
646,83.0,True
647,83.0,True
648,83.0,True
649,83.0,True
650,82.0,True
651,83.0,True
652,83.0,True
653,82.0,True
654,83.0,True
655,82.0,True
656,82.0,True
657,82.0,True
658,83.0,True
659,82.0,True
660,83.0,True
661,83.0,True
662,82.0,True
663,82.0,True
664,83.0,True
665,82.0,True
666,83.0,True
667,82.0,True
668,82.0,True
669,82.0,True
670,82.0,True
671,83.0,True
672,82.0,True
673,82.0,True
674,82.0,True
675,82.0,True
676,82.0,True
677,83.0,True
678,82.0,True
679,83.0,True
680,83.0,True
681,82.0,True
682,83.0,True
683,-113.0,False
684,82.0,True
685,82.0,True
686,82.0,True
687,82.0,True
688,82.0,True
689,-113.0,False
690,82.0,True
691,82.0,True
692,82.0,True
693,83.0,True
694,82.0,True
695,83.0,True
696,83.0,True
697,83.0,True
698,82.0,True
699,82.0,True
700,82.0,True
701,82.0,True
702,-113.0,False
703,82.0,True
704,82.0,True
705,82.0,True
706,83.0,True
707,83.0,True
708,83.0,True
709,82.0,True
710,83.0,True
711,83.0,True
712,82.0,True
713,82.0,True
714,83.0,True
715,82.0,True
716,83.0,True
717,82.0,True
718,83.0,True
719,83.0,True
720,82.0,True
721,82.0,True
722,82.0,True
723,82.0,True
724,83.0,True
725,83.0,True
726,82.0,True
727,82.0,True
728,83.0,True
729,82.0,True
730,82.0,True
731,82.0,True
732,83.0,True
733,82.0,True
734,82.0,True
735,83.0,True
736,82.0,True
737,83.0,True
738,82.0,True
