Episode,Total Reward,Goal Reached
7500,82.0,True
2500,82.0,True
5000,82.0,True
0,82.0,True
2501,-28.0,False
5001,-28.0,False
2502,-28.0,False
1,-28.0,False
2503,82.0,True
7501,-28.0,False
2504,82.0,True
5002,-28.0,False
2,-28.0,False
2505,82.0,True
7502,-28.0,False
5003,82.0,True
3,82.0,True
7503,82.0,True
2506,-29.0,False
4,82.0,True
5004,82.0,True
2507,-113.0,False
7504,82.0,True
5005,82.0,True
2508,-28.0,False
5,82.0,True
7505,82.0,True
6,-29.0,False
5006,-29.0,False
2509,81.0,True
7506,-29.0,False
5007,-113.0,False
2510,-28.0,False
2511,-29.0,False
7507,-113.0,False
7,-113.0,False
5008,-28.0,False
2512,-28.0,False
8,-28.0,False
5009,81.0,True
2513,82.0,True
7508,-28.0,False
9,81.0,True
10,-28.0,False
2514,81.0,True
5010,-28.0,False
7509,81.0,True
11,-29.0,False
2515,82.0,True
5011,-29.0,False
7510,-28.0,False
12,-28.0,False
2516,82.0,True
5012,-28.0,False
7511,-29.0,False
13,82.0,True
2517,82.0,True
7512,-28.0,False
5013,82.0,True
14,81.0,True
2518,82.0,True
5014,81.0,True
7513,82.0,True
15,82.0,True
7514,81.0,True
2519,81.0,True
16,82.0,True
5015,82.0,True
2520,82.0,True
5016,82.0,True
7515,82.0,True
17,82.0,True
2521,-113.0,False
7516,82.0,True
18,82.0,True
5017,82.0,True
2522,81.0,True
7517,82.0,True
19,81.0,True
5018,82.0,True
2523,-113.0,False
20,82.0,True
7518,82.0,True
5019,81.0,True
2524,81.0,True
21,-113.0,False
5020,82.0,True
7519,81.0,True
2525,82.0,True
22,81.0,True
7520,82.0,True
5021,-113.0,False
2526,-114.0,False
23,-113.0,False
7521,-113.0,False
5022,81.0,True
2527,81.0,True
7522,81.0,True
24,81.0,True
5023,-113.0,False
2528,81.0,True
7523,-113.0,False
5024,81.0,True
25,82.0,True
2529,-28.0,False
5025,82.0,True
7524,81.0,True
26,-114.0,False
2530,-114.0,False
5026,-114.0,False
27,81.0,True
7525,82.0,True
2531,82.0,True
7526,-114.0,False
5027,81.0,True
28,81.0,True
2532,82.0,True
7527,81.0,True
29,-28.0,False
5028,81.0,True
2533,82.0,True
30,-114.0,False
5029,-28.0,False
7528,81.0,True
7529,-28.0,False
2534,82.0,True
5030,-114.0,False
31,82.0,True
2535,82.0,True
5031,82.0,True
32,82.0,True
7530,-114.0,False
2536,82.0,True
33,82.0,True
5032,82.0,True
7531,82.0,True
7532,82.0,True
2537,81.0,True
34,82.0,True
5033,82.0,True
2538,82.0,True
35,82.0,True
5034,82.0,True
7533,82.0,True
2539,82.0,True
5035,82.0,True
36,82.0,True
7534,82.0,True
2540,82.0,True
5036,82.0,True
7535,82.0,True
37,81.0,True
2541,82.0,True
38,82.0,True
5037,81.0,True
7536,82.0,True
2542,82.0,True
5038,82.0,True
39,82.0,True
7537,81.0,True
2543,82.0,True
40,82.0,True
7538,82.0,True
5039,82.0,True
41,82.0,True
2544,81.0,True
5040,82.0,True
7539,82.0,True
2545,-113.0,False
42,82.0,True
7540,82.0,True
5041,82.0,True
2546,82.0,True
43,82.0,True
5042,82.0,True
7541,82.0,True
2547,81.0,True
5043,82.0,True
44,81.0,True
7542,82.0,True
2548,82.0,True
7543,82.0,True
45,-113.0,False
5044,81.0,True
2549,82.0,True
46,82.0,True
7544,81.0,True
5045,-113.0,False
7545,-113.0,False
2550,82.0,True
47,81.0,True
5046,82.0,True
48,82.0,True
7546,82.0,True
2551,81.0,True
5047,81.0,True
2552,-113.0,False
7547,81.0,True
49,82.0,True
5048,82.0,True
7548,82.0,True
2553,82.0,True
50,82.0,True
5049,82.0,True
7549,82.0,True
2554,81.0,True
51,81.0,True
5050,82.0,True
2555,-28.0,False
7550,82.0,True
52,-113.0,False
5051,81.0,True
2556,-28.0,False
53,82.0,True
7551,81.0,True
5052,-113.0,False
2557,-28.0,False
7552,-113.0,False
5053,82.0,True
54,81.0,True
2558,82.0,True
7553,82.0,True
55,-28.0,False
5054,81.0,True
2559,-113.0,False
7554,81.0,True
56,-28.0,False
5055,-28.0,False
2560,82.0,True
7555,-28.0,False
57,-28.0,False
2561,-113.0,False
5056,-28.0,False
7556,-28.0,False
2562,82.0,True
58,82.0,True
5057,-28.0,False
59,-113.0,False
7557,-28.0,False
2563,82.0,True
5058,82.0,True
60,82.0,True
7558,82.0,True
2564,82.0,True
5059,-113.0,False
61,-113.0,False
7559,-113.0,False
2565,81.0,True
62,82.0,True
5060,82.0,True
7560,82.0,True
2566,-28.0,False
7561,-113.0,False
63,82.0,True
5061,-113.0,False
2567,-28.0,False
5062,82.0,True
64,82.0,True
7562,82.0,True
2568,-113.0,False
2569,-113.0,False
5063,82.0,True
65,81.0,True
2570,-28.0,False
7563,82.0,True
5064,82.0,True
66,-28.0,False
2571,82.0,True
7564,82.0,True
5065,81.0,True
7565,81.0,True
2572,-28.0,False
67,-28.0,False
7566,-28.0,False
5066,-28.0,False
68,-113.0,False
2573,83.0,True
69,-113.0,False
2574,81.0,True
7567,-28.0,False
5067,-28.0,False
70,-28.0,False
7568,-113.0,False
71,82.0,True
2575,82.0,True
5068,-113.0,False
7569,-113.0,False
5069,-113.0,False
2576,82.0,True
72,-28.0,False
7570,-28.0,False
5070,-28.0,False
73,83.0,True
2577,82.0,True
7571,82.0,True
5071,82.0,True
74,81.0,True
2578,83.0,True
7572,-28.0,False
5072,-28.0,False
75,82.0,True
2579,82.0,True
7573,83.0,True
76,82.0,True
2580,82.0,True
5073,83.0,True
77,82.0,True
7574,81.0,True
5074,81.0,True
78,83.0,True
2581,82.0,True
5075,82.0,True
2582,82.0,True
7575,82.0,True
79,82.0,True
5076,82.0,True
5077,82.0,True
80,82.0,True
2583,82.0,True
7576,82.0,True
7577,82.0,True
2584,82.0,True
7578,83.0,True
81,82.0,True
5078,83.0,True
7579,82.0,True
2585,82.0,True
82,82.0,True
5079,82.0,True
2586,82.0,True
7580,82.0,True
83,82.0,True
5080,82.0,True
7581,82.0,True
2587,82.0,True
5081,82.0,True
7582,82.0,True
84,82.0,True
7583,82.0,True
85,82.0,True
5082,82.0,True
2588,82.0,True
2589,82.0,True
86,82.0,True
7584,82.0,True
5083,82.0,True
7585,82.0,True
5084,82.0,True
7586,82.0,True
87,82.0,True
2590,82.0,True
5085,82.0,True
7587,82.0,True
88,82.0,True
2591,-113.0,False
7588,82.0,True
2592,-28.0,False
5086,82.0,True
89,82.0,True
5087,82.0,True
90,82.0,True
7589,82.0,True
2593,82.0,True
2594,82.0,True
5088,82.0,True
91,-113.0,False
7590,82.0,True
2595,82.0,True
92,-28.0,False
7591,-113.0,False
2596,-28.0,False
5089,82.0,True
93,82.0,True
2597,82.0,True
7592,-28.0,False
94,82.0,True
5090,82.0,True
7593,82.0,True
2598,-28.0,False
7594,82.0,True
95,82.0,True
5091,-113.0,False
2599,82.0,True
96,-28.0,False
7595,82.0,True
5092,-28.0,False
7596,-28.0,False
2600,83.0,True
97,82.0,True
5093,82.0,True
98,-28.0,False
7597,82.0,True
5094,82.0,True
2601,82.0,True
99,82.0,True
7598,-28.0,False
2602,82.0,True
5095,82.0,True
100,83.0,True
7599,82.0,True
101,82.0,True
2603,82.0,True
7600,83.0,True
5096,-28.0,False
5097,82.0,True
7601,82.0,True
2604,82.0,True
102,82.0,True
5098,-28.0,False
103,82.0,True
7602,82.0,True
2605,82.0,True
5099,82.0,True
7603,82.0,True
104,82.0,True
2606,-113.0,False
5100,83.0,True
105,82.0,True
7604,82.0,True
2607,-113.0,False
5101,82.0,True
2608,82.0,True
7605,82.0,True
106,-113.0,False
5102,82.0,True
2609,83.0,True
7606,-113.0,False
107,-113.0,False
5103,82.0,True
2610,82.0,True
108,82.0,True
7607,-113.0,False
5104,82.0,True
2611,82.0,True
5105,82.0,True
109,83.0,True
7608,82.0,True
2612,82.0,True
5106,-113.0,False
110,82.0,True
7609,83.0,True
2613,-28.0,False
